"name";"value";"dateStamp"
"abakus";"926";"2025-01-24 00:00:00"
"abs";"14360";"2025-01-24 00:00:00"
"aci";"45522";"2025-01-24 00:00:00"
"ajs";"549";"2025-01-24 00:00:00"
"auto-partner-blue";"57321";"2025-01-24 00:00:00"
"autogroup";"1209";"2025-01-24 00:00:00"
"autokelly";"117716";"2025-01-24 00:00:00"
"autonova";"4244";"2025-01-24 00:00:00"
"autopartner";"35191";"2025-01-24 00:00:00"
"conex";"20911";"2025-01-24 00:00:00"
"conex_ro";"22269";"2025-01-24 00:00:00"
"dft";"18774";"2025-01-24 00:00:00"
"difer";"1721";"2025-01-24 00:00:00"
"euro07";"19954";"2025-01-24 00:00:00"
"gbg";"88469";"2025-01-24 00:00:00"
"hartsk";"14566";"2025-01-24 00:00:00"
"ipsa";"3198";"2025-01-24 00:00:00"
"jbm";"2905";"2025-01-24 00:00:00"
"jmauto_st";"13935";"2025-01-24 00:00:00"
"lang";"90646";"2025-01-24 00:00:00"
"materom";"19829";"2025-01-24 00:00:00"
"misfat";"13528";"2025-01-24 00:00:00"
"mm";"1868";"2025-01-24 00:00:00"
"motogama";"28571";"2025-01-24 00:00:00"
"motoprofil";"61160";"2025-01-24 00:00:00"
"neo";"5657";"2025-01-24 00:00:00"
"nimfas";"1711";"2025-01-24 00:00:00"
"parts4france";"12510";"2025-01-24 00:00:00"
"polcar";"44802";"2025-01-24 00:00:00"
"polcarnagy";"132542";"2025-01-24 00:00:00"
"schaefer";"16368";"2025-01-24 00:00:00"
"skv";"12";"2025-01-24 00:00:00"
"stahlcz";"8632";"2025-01-24 00:00:00"
"stahlgruber";"27293";"2025-01-24 00:00:00"
"suder";"23722";"2025-01-24 00:00:00"
"tokic";"21033";"2025-01-24 00:00:00"
"tokic_ro";"29311";"2025-01-24 00:00:00"
"vw";"2289";"2025-01-24 00:00:00"
"zsu";"67407";"2025-01-24 00:00:00"
"abakus";"925";"2025-01-27 00:00:00"
"abs";"14360";"2025-01-27 00:00:00"
"aci";"45711";"2025-01-27 00:00:00"
"ajs";"595";"2025-01-27 00:00:00"
"auto-partner-blue";"57165";"2025-01-27 00:00:00"
"autogroup";"1207";"2025-01-27 00:00:00"
"autokelly";"118221";"2025-01-27 00:00:00"
"autonova";"4239";"2025-01-27 00:00:00"
"autopartner";"35192";"2025-01-27 00:00:00"
"conex";"20875";"2025-01-27 00:00:00"
"conex_ro";"22242";"2025-01-27 00:00:00"
"dft";"18774";"2025-01-27 00:00:00"
"difer";"1721";"2025-01-27 00:00:00"
"euro07";"20243";"2025-01-27 00:00:00"
"gbg";"88469";"2025-01-27 00:00:00"
"hartsk";"14566";"2025-01-27 00:00:00"
"ipsa";"3199";"2025-01-27 00:00:00"
"jbm";"2911";"2025-01-27 00:00:00"
"jmauto_st";"15094";"2025-01-27 00:00:00"
"lang";"90646";"2025-01-27 00:00:00"
"materom";"20196";"2025-01-27 00:00:00"
"misfat";"13528";"2025-01-27 00:00:00"
"mm";"1869";"2025-01-27 00:00:00"
"motogama";"28806";"2025-01-27 00:00:00"
"motoprofil";"61161";"2025-01-27 00:00:00"
"neo";"5667";"2025-01-27 00:00:00"
"nimfas";"1666";"2025-01-27 00:00:00"
"parts4france";"12510";"2025-01-27 00:00:00"
"polcar";"44999";"2025-01-27 00:00:00"
"polcarnagy";"133394";"2025-01-27 00:00:00"
"schaefer";"16362";"2025-01-27 00:00:00"
"skv";"13";"2025-01-27 00:00:00"
"stahlcz";"68814";"2025-01-27 00:00:00"
"stahlgruber";"27451";"2025-01-27 00:00:00"
"suder";"23738";"2025-01-27 00:00:00"
"tokic";"21348";"2025-01-27 00:00:00"
"tokic_ro";"30096";"2025-01-27 00:00:00"
"vw";"2298";"2025-01-27 00:00:00"
"zsu";"67407";"2025-01-27 00:00:00"
"abakus";"924";"2025-01-28 00:00:00"
"abs";"14360";"2025-01-28 00:00:00"
"aci";"45748";"2025-01-28 00:00:00"
"ajs";"596";"2025-01-28 00:00:00"
"auto-partner-blue";"57055";"2025-01-28 00:00:00"
"autogroup";"1205";"2025-01-28 00:00:00"
"autokelly";"118419";"2025-01-28 00:00:00"
"autonova";"4238";"2025-01-28 00:00:00"
"autopartner";"35136";"2025-01-28 00:00:00"
"conex";"20855";"2025-01-28 00:00:00"
"conex_ro";"22229";"2025-01-28 00:00:00"
"dft";"18774";"2025-01-28 00:00:00"
"difer";"1718";"2025-01-28 00:00:00"
"euro07";"20231";"2025-01-28 00:00:00"
"gbg";"88469";"2025-01-28 00:00:00"
"hartsk";"14566";"2025-01-28 00:00:00"
"ipsa";"3193";"2025-01-28 00:00:00"
"jbm";"2900";"2025-01-28 00:00:00"
"jmauto_st";"15094";"2025-01-28 00:00:00"
"lang";"90646";"2025-01-28 00:00:00"
"materom";"19810";"2025-01-28 00:00:00"
"misfat";"13528";"2025-01-28 00:00:00"
"mm";"939";"2025-01-28 00:00:00"
"motogama";"28752";"2025-01-28 00:00:00"
"motoprofil";"61161";"2025-01-28 00:00:00"
"neo";"5659";"2025-01-28 00:00:00"
"nimfas";"1690";"2025-01-28 00:00:00"
